Death ID,City,Incident_Type,Fatalities,Injuries,Category,Cause_of_dead
2024-GAZ-00141405,Khan Younis,Missile Strike,9923,145,Direct Conflict,Crush Injuries
2024-GAZ-00140,middle Area,Drone Strike,4,,Direct Conflict,Crush Injuries
2024-GAZ-00140,middle Area,Rocket Attack,3,,Direct Conflict,Crush Injuries
2024-GAZ-0014,middle Area,Airstrike,3,,Direct Conflict,Crush Injuries
2024-GAZ-00140,middle Area,Building Collapse,1,,Direct Conflict,Crush Injuries
2024-GAZ-001423,middle Area,Airstrike,475,23,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Artillery Shelling,1,,Direct Conflict,Burns
2024-GAZ-00140,Khan Younis,Airstrike,1,,Direct Conflict,Burns
2024-GAZ-00140,Khan Younis,Building Collapse,3,,Direct Conflict,Burns
2024-GAZ-00140,Khan Younis,Airstrike,720,,Direct Conflict,Burns
2024-GAZ-00140,Jabalia,Drone Strike,355,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Jabalia,Airstrike,9,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001414,Gaza city,Airstrike,266,14,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,,Airstrike,1,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014,,Airstrike,5,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,,Building Collapse,3,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001432,North Gaza,Rocket Attack,377,32,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014299,North Gaza,Airstrike,23124,299,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001474,North Gaza,Airstrike,293,74,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Khan Younis,Artillery Shelling,2,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Rocket Attack,2,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Airstrike,2,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Khan Younis,Airstrike,2,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Khan Younis,Building Collapse,0,,Direct Conflict,Crush Injuries
2024-GAZ-0014548,Deir al-Balah,Drone Strike,15619,548,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001484,Deir al-Balah,Missile Strike,7536,84,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014,Deir al-Balah,Artillery Shelling,2820,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014140,Deir al-Balah,Rocket Attack,6864,14,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014200,Deir al-Balah,Airstrike,22576,2,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00141130,Deir al-Balah,Airstrike,77636,113,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014103,Deir al-Balah,Building Collapse,3510,13,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001410,Deir al-Balah,Airstrike,43,1,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,Gaza city,Rocket Attack,1,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001482,,Drone Strike,4295,82,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001447,,Missile Strike,1818,47,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014167,,Artillery Shelling,6421,167,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Jabalia,Missile Strike,2,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Missile Strike,1,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Missile Strike,2,,Lack of medical Access,Burns
2024-GAZ-00140,Deir al-Balah,Airstrike,49,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00141,Deir al-Balah,Drone Strike,52,1,Lack of medical Access,Asphyxiation
2024-GAZ-00141,Deir al-Balah,Missile Strike,125,1,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Deir al-Balah,Artillery Shelling,12,,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Deir al-Balah,Rocket Attack,8,,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Deir al-Balah,Airstrike,29,,Lack of medical Access,Asphyxiation
2024-GAZ-00144,Deir al-Balah,Airstrike,279,4,Lack of medical Access,Asphyxiation
2024-GAZ-001415,Deir al-Balah,Building Collapse,1974,15,Lack of medical Access,Asphyxiation
2024-GAZ-001421,Deir al-Balah,Rocket Attack,401,21,Lack of medical Access,Asphyxiation
2024-GAZ-00141426,Deir al-Balah,Missile Strike,10201,1426,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Deir al-Balah,Artillery Shelling,1,,Lack of medical Access,Asphyxiation
2024-GAZ-00142,Deir al-Balah,Artillery Shelling,16,2,Lack of medical Access,Asphyxiation
2024-GAZ-00141,Deir al-Balah,Missile Strike,35,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001411,Deir al-Balah,Artillery Shelling,262,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Deir al-Balah,Rocket Attack,166,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Deir al-Balah,Airstrike,61,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Deir al-Balah,Airstrike,4,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,Deir al-Balah,Building Collapse,72,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,Deir al-Balah,Airstrike,75,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,,Airstrike,27,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-001452,,Airstrike,384,52,Lack of medical Access,Burns
2024-GAZ-001411,North Gaza,Drone Strike,516,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001433,North Gaza,Missile Strike,1461,33,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00149,North Gaza,Artillery Shelling,309,9,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001427,North Gaza,Rocket Attack,748,27,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014135,North Gaza,Airstrike,6326,135,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001478,North Gaza,Building Collapse,2341,78,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Middle Area,Airstrike,33,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Drone Strike,19,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Missile Strike,15,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Artillery Shelling,14,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Rocket Attack,6,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Airstrike,17,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Airstrike,32,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Building Collapse,8,,Lack of medical Access,Burns
2024-GAZ-00140,Middle Area,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-0014172,Rafah,Drone Strike,11360,172,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014144,Rafah,Missile Strike,11563,144,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001417,Rafah,Rocket Attack,270,17,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Rafah,Airstrike,286,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001411,Rafah,Airstrike,942,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001459,Rafah,Building Collapse,4469,59,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Deir al-balah,Drone Strike,14,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Missile Strike,4,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Artillery Shelling,7,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Rocket Attack,14,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Airstrike,18,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Airstrike,42,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-balah,Building Collapse,15,,Lack of medical Access,Sepsis
2024-GAZ-00140,Middle Area,Rocket Attack,4,,Lack of medical Access,Sepsis
2024-GAZ-00140,Middle Area,Airstrike,49,,Lack of medical Access,Sepsis
2024-GAZ-0014,Deir al-balah,Airstrike,3,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Deir al-balah,Building Collapse,606,,Direct Conflict,Crush Injuries
2024-GAZ-00141,Deir al-balah,Airstrike,82,1,Direct Conflict,Crush Injuries
2024-GAZ-0014167,Deir al-balah,Rocket Attack,8353,167,Direct Conflict,Crush Injuries
2024-GAZ-00147,Deir al-balah,Building Collapse,7,7,Direct Conflict,Crush Injuries
2024-GAZ-001421,Deir al-balah,Artillery Shelling,26,21,Direct Conflict,Crush Injuries
2024-GAZ-0014164,Deir al-balah,Drone Strike,15751,164,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014134,Deir al-balah,Airstrike,31789,134,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00144,Deir al-balah,Building Collapse,300,4,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00142,North Gaza,Airstrike,198,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00147,North Gaza,Airstrike,330,7,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001462,North Gaza,Building Collapse,6794,62,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Drone Strike,10,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Missile Strike,60,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Airstrike,23,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Gaza city,Airstrike,1220,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001421,Gaza city,Building Collapse,951,21,Lack of medical Access,Hemorrhagic Shock
